fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1.0,car,0,1,505,536,1171,998,KPH,0.9995388832926391,453,323,595,371,KPH
1.0,car,0,2,917,528,1418,804,5980Z,0.330380159672436,406,206,482,234,5980Z
1.0,car,0,3,1673,589,1906,694,,0.0,0,0,0,0,
1.0,car,0,4,229,476,355,595,,0.0,0,0,0,0,
2.0,car,0,1,517,536,1211,1019,KPH,0.9998882281998742,471,337,632,388,KPH
2.0,car,0,2,923,529,1420,806,59850Z,0.5078009037633109,405,205,471,231,59850Z
2.0,car,0,3,1673,589,1910,694,,0.0,0,0,0,0,
2.0,car,0,4,230,475,360,596,,0.0,0,0,0,0,
3.0,car,0,1,529,536,1259,1041,KPH,0.9989558523415311,505,355,663,405,KPH
3.0,car,0,2,928,530,1423,807,59030YZ,0.1449151404108534,395,204,466,229,59030YZ
3.0,car,0,3,1673,587,1899,692,,0.0,0,0,0,0,
3.0,car,0,4,229,473,360,595,,0.0,0,0,0,0,
4.0,car,0,1,540,537,1307,1059,KPH,0.9996383995021413,543,371,704,424,KPH
4.0,car,0,2,928,529,1425,807,598307,0.5356475219378732,392,207,468,231,598307
4.0,car,0,3,1673,586,1894,690,,0.0,0,0,0,0,
4.0,car,0,4,231,473,364,598,,0.0,0,0,0,0,
5.0,car,0,1,556,536,1361,1074,KPH,0.9997598028163741,572,395,743,451,KPH
5.0,car,0,2,926,530,1426,815,596,0.9884211438049486,404,204,472,232,596
5.0,car,0,3,1671,587,1888,687,,0.0,0,0,0,0,
6.0,car,0,1,571,532,1429,1069,KPH,0.9999435632907281,633,421,791,479,KPH
6.0,car,0,2,930,529,1425,814,59030YZ,0.17036246307668065,399,208,462,230,59030YZ
6.0,car,0,3,1669,587,1876,687,,0.0,0,0,0,0,
6.0,car,0,4,232,473,368,600,,0.0,0,0,0,0,
7.0,car,0,1,585,532,1506,1070,KPH,0.9997721910207207,674,446,845,509,KPH
7.0,car,0,2,932,527,1418,787,5936XZ,0.5048573568409571,408,209,461,235,5936XZ
8.0,car,0,1,602,536,1561,1071,KPH,0.8917739391326904,706,476,898,534,KPH
8.0,car,0,2,924,532,1416,762,,0.0,0,0,0,0,
8.0,car,0,3,1669,584,1856,686,,0.0,0,0,0,0,
9.0,car,0,1,622,539,1637,1071,60,0.361505067090106,843,499,946,532,60
9.0,car,0,2,1667,583,1861,686,,0.0,0,0,0,0,
10.0,car,0,1,641,536,1730,1072,,0.0,0,0,0,0,
10.0,car,0,2,653,534,888,678,,0.0,0,0,0,0,
10.0,car,0,3,1674,582,1841,683,,0.0,0,0,0,0,
11.0,car,0,1,658,536,1830,1071,,0.0,0,0,0,0,
11.0,car,0,2,655,535,899,677,,0.0,0,0,0,0,
11.0,car,0,3,1672,582,1828,685,,0.0,0,0,0,0,
11.0,car,0,4,233,476,374,608,,0.0,0,0,0,0,
12.0,car,0,1,680,546,1917,1070,,0.0,0,0,0,0,
12.0,car,0,2,655,535,905,679,,0.0,0,0,0,0,
12.0,car,0,3,235,477,378,609,,0.0,0,0,0,0,
12.0,car,0,4,1669,576,1826,678,,0.0,0,0,0,0,
13.0,car,0,1,706,565,1918,1068,,0.0,0,0,0,0,
13.0,car,0,2,655,536,916,684,,0.0,0,0,0,0,
13.0,car,0,3,237,478,380,608,,0.0,0,0,0,0,
13.0,car,0,4,1673,577,1818,683,,0.0,0,0,0,0,
13.0,car,0,5,400,502,472,547,,0.0,0,0,0,0,
14.0,car,0,1,732,572,1918,1069,,0.0,0,0,0,0,
14.0,car,0,2,658,536,917,695,,0.0,0,0,0,0,
14.0,car,0,3,237,476,382,609,,0.0,0,0,0,0,
14.0,car,0,4,1677,580,1802,680,,0.0,0,0,0,0,
15.0,car,0,1,760,577,1917,1069,,0.0,0,0,0,0,
15.0,car,0,2,658,536,917,710,,0.0,0,0,0,0,
15.0,car,0,3,1675,581,1775,678,,0.0,0,0,0,0,
15.0,car,0,4,912,532,1274,599,,0.0,0,0,0,0,
16.0,car,0,1,792,579,1920,1070,,0.0,0,0,0,0,
16.0,car,0,2,659,537,916,713,,0.0,0,0,0,0,
17.0,car,0,1,660,536,916,713,,0.0,0,0,0,0,
17.0,car,0,2,826,583,1919,1069,,0.0,0,0,0,0,
17.0,car,0,3,893,533,1282,693,,0.0,0,0,0,0,
18.0,car,0,1,660,536,917,712,,0.0,0,0,0,0,
18.0,car,0,2,865,592,1916,1067,,0.0,0,0,0,0,
18.0,car,0,3,899,533,1286,740,,0.0,0,0,0,0,
19.0,car,0,1,906,600,1918,1070,,0.0,0,0,0,0,
19.0,car,0,2,660,536,917,712,,0.0,0,0,0,0,
19.0,car,0,3,898,534,1288,747,,0.0,0,0,0,0,
20.0,car,0,1,950,610,1916,1070,,0.0,0,0,0,0,
20.0,car,0,2,661,536,918,712,,0.0,0,0,0,0,
20.0,car,0,3,898,535,1312,754,,0.0,0,0,0,0,
21.0,car,0,1,1005,614,1917,1071,,0.0,0,0,0,0,
21.0,car,0,2,660,538,918,712,,0.0,0,0,0,0,
21.0,car,0,3,900,535,1337,769,,0.0,0,0,0,0,
21.0,truck,0,4,240,477,396,615,,0.0,0,0,0,0,
