fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1.0,bus,0,1,1402,52,1918,476,,0.0,0,0,0,0,
1.0,car,0,2,1321,312,1398,371,,0.0,0,0,0,0,
2.0,bus,0,1,1402,56,1918,471,,0.0,0,0,0,0,
2.0,car,0,2,1321,312,1397,371,,0.0,0,0,0,0,
3.0,bus,0,1,1395,63,1918,467,,0.0,0,0,0,0,
3.0,car,0,2,1320,312,1395,371,,0.0,0,0,0,0,
4.0,bus,0,1,1389,67,1918,466,,0.0,0,0,0,0,
4.0,car,0,2,1318,312,1395,371,,0.0,0,0,0,0,
5.0,bus,0,1,1390,72,1918,464,,0.0,0,0,0,0,
5.0,car,0,2,1316,312,1394,371,,0.0,0,0,0,0,
6.0,bus,0,1,1392,76,1918,462,,0.0,0,0,0,0,
6.0,car,0,2,1316,312,1392,370,,0.0,0,0,0,0,
7.0,bus,0,1,1391,79,1918,461,,0.0,0,0,0,0,
7.0,car,0,2,1316,312,1390,370,,0.0,0,0,0,0,
8.0,bus,0,1,1388,84,1918,458,,0.0,0,0,0,0,
8.0,car,0,2,1314,312,1389,369,,0.0,0,0,0,0,
9.0,bus,0,1,1386,88,1918,457,,0.0,0,0,0,0,
9.0,car,0,2,1313,312,1387,368,,0.0,0,0,0,0,
10.0,bus,0,1,1383,92,1918,457,,0.0,0,0,0,0,
10.0,car,0,2,1311,312,1386,368,,0.0,0,0,0,0,
11.0,bus,0,1,1382,96,1918,456,,0.0,0,0,0,0,
11.0,car,0,2,1310,312,1385,367,,0.0,0,0,0,0,
12.0,bus,0,1,1382,97,1918,455,,0.0,0,0,0,0,
12.0,car,0,2,1309,312,1384,368,,0.0,0,0,0,0,
13.0,bus,0,1,1382,101,1915,453,,0.0,0,0,0,0,
13.0,car,0,2,1309,312,1382,368,,0.0,0,0,0,0,
14.0,bus,0,1,1381,104,1903,451,,0.0,0,0,0,0,
14.0,car,0,2,1309,312,1380,368,,0.0,0,0,0,0,
15.0,bus,0,1,1380,107,1889,451,,0.0,0,0,0,0,
15.0,car,0,2,1309,312,1378,368,,0.0,0,0,0,0,
16.0,bus,0,1,1378,111,1872,450,,0.0,0,0,0,0,
16.0,car,0,2,1308,312,1375,367,,0.0,0,0,0,0,
17.0,bus,0,1,1376,114,1866,449,,0.0,0,0,0,0,
17.0,car,0,2,1308,313,1374,367,,0.0,0,0,0,0,
18.0,bus,0,1,1376,117,1858,450,,0.0,0,0,0,0,
18.0,car,0,2,1308,313,1373,366,,0.0,0,0,0,0,
19.0,bus,0,1,1375,121,1840,448,,0.0,0,0,0,0,
19.0,car,0,2,1308,313,1372,367,,0.0,0,0,0,0,
20.0,bus,0,1,1374,125,1826,446,,0.0,0,0,0,0,
20.0,car,0,2,1308,314,1370,367,,0.0,0,0,0,0,
21.0,bus,0,1,1372,127,1816,444,,0.0,0,0,0,0,
21.0,car,0,2,1308,313,1369,368,,0.0,0,0,0,0,
22.0,bus,0,1,1371,132,1809,442,,0.0,0,0,0,0,
22.0,car,0,2,1308,313,1368,368,,0.0,0,0,0,0,
23.0,bus,0,1,1369,135,1808,442,,0.0,0,0,0,0,
23.0,car,0,2,1308,313,1366,367,,0.0,0,0,0,0,
24.0,bus,0,1,1369,140,1804,441,,0.0,0,0,0,0,
24.0,car,0,2,1308,313,1366,366,,0.0,0,0,0,0,
25.0,bus,0,1,1368,142,1787,441,,0.0,0,0,0,0,
25.0,car,0,2,1308,312,1366,366,,0.0,0,0,0,0,
26.0,bus,0,1,1367,143,1771,441,,0.0,0,0,0,0,
26.0,car,0,2,1308,312,1365,366,,0.0,0,0,0,0,
27.0,bus,0,1,1366,145,1760,440,,0.0,0,0,0,0,
27.0,car,0,2,1308,311,1365,365,,0.0,0,0,0,0,
28.0,bus,0,1,1364,148,1745,437,,0.0,0,0,0,0,
28.0,car,0,2,1308,310,1364,366,,0.0,0,0,0,0,
