fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1.0,car,0,1,505,536,1171,998,KPH,0.759498119354248,457,85,589,137,KPH
1.0,car,0,2,917,528,1418,804,5963GXZ,0.6506742892983172,405,68,473,90,5963GXZ
1.0,car,0,3,1673,589,1906,694,,0.0,0,0,0,0,
1.0,car,0,4,229,476,355,595,,0.0,0,0,0,0,
2.0,car,0,1,515,536,1206,1016,KPH,0.999870884449875,486,91,619,147,KPH
2.0,car,0,2,923,529,1420,805,598502,0.2324491198263835,399,67,468,90,598502
2.0,car,0,3,1673,589,1909,694,,0.0,0,0,0,0,
2.0,car,0,4,230,475,359,596,,0.0,0,0,0,0,
3.0,car,0,1,526,537,1249,1036,KPH,0.9999487939921813,517,99,655,156,KPH
3.0,car,0,2,927,530,1423,807,598302,0.4766551949905875,396,67,464,89,598302
3.0,car,0,3,1673,587,1902,693,,0.0,0,0,0,0,
3.0,car,0,4,229,473,360,596,,0.0,0,0,0,0,
4.0,car,0,1,538,537,1298,1056,KPH,0.9998836169608218,550,105,693,167,KPH
4.0,car,0,2,929,529,1425,807,5980,0.6319438550887819,393,66,462,90,5980
4.0,car,0,3,1673,586,1895,691,,0.0,0,0,0,0,
4.0,car,0,4,231,473,363,597,,0.0,0,0,0,0,
5.0,car,0,1,553,536,1351,1073,KPH,0.999884993449793,584,120,732,182,KPH
5.0,car,0,2,927,530,1426,813,16X2,0.2025478184223175,424,64,464,84,16X2
5.0,car,0,3,1672,587,1889,688,,0.0,0,0,0,0,
5.0,car,0,4,230,473,366,598,,0.0,0,0,0,0,
6.0,car,0,1,569,533,1416,1075,KPH,0.9995389521139021,623,142,776,208,KPH
6.0,car,0,2,930,529,1426,814,59830YZ,0.38357975620529017,398,63,461,87,59830YZ
6.0,car,0,3,1670,587,1878,687,,0.0,0,0,0,0,
6.0,car,0,4,231,473,368,599,,0.0,0,0,0,0,
7.0,car,0,1,583,532,1490,1076,KPH,0.9994969712614031,674,168,827,239,KPH
7.0,car,0,2,932,528,1421,796,5256Z,0.106251738594963,407,72,461,95,5256Z
7.0,car,0,3,1667,585,1877,685,,0.0,0,0,0,0,
7.0,car,0,4,233,473,372,601,,0.0,0,0,0,0,
8.0,car,0,1,600,535,1553,1076,KPH,0.999692080996127,724,194,884,271,KPH
8.0,car,0,2,927,531,1417,772,,0.0,0,0,0,0,
8.0,car,0,3,1668,584,1861,685,,0.0,0,0,0,0,
8.0,car,0,4,236,474,371,603,,0.0,0,0,0,0,
9.0,car,0,1,618,538,1625,1075,KPHI,0.6752030849456787,786,227,956,269,KPHI
9.0,car,0,2,929,531,1418,751,,0.0,0,0,0,0,
9.0,car,0,3,1667,583,1859,685,,0.0,0,0,0,0,
9.0,car,0,4,236,474,371,604,,0.0,0,0,0,0,
10.0,car,0,1,638,536,1711,1076,,0.0,0,0,0,0,
10.0,car,0,3,1672,582,1844,683,,0.0,0,0,0,0,
10.0,car,0,4,237,475,385,605,,0.0,0,0,0,0,
11.0,car,0,1,656,536,1807,1075,,0.0,0,0,0,0,
11.0,car,0,3,1672,582,1830,684,,0.0,0,0,0,0,
11.0,car,0,4,235,476,379,607,,0.0,0,0,0,0,
11.0,car,0,5,654,535,897,677,,0.0,0,0,0,0,
12.0,car,0,1,676,542,1898,1073,,0.0,0,0,0,0,
12.0,car,0,3,1670,578,1824,680,,0.0,0,0,0,0,
12.0,car,0,4,235,477,379,609,,0.0,0,0,0,0,
12.0,car,0,5,655,535,903,679,,0.0,0,0,0,0,
13.0,car,0,1,700,558,1920,1071,,0.0,0,0,0,0,
13.0,car,0,3,1672,577,1818,681,,0.0,0,0,0,0,
13.0,car,0,4,236,477,381,609,,0.0,0,0,0,0,
13.0,car,0,5,655,536,914,683,,0.0,0,0,0,0,
14.0,car,0,1,726,568,1920,1071,,0.0,0,0,0,0,
14.0,car,0,3,1675,579,1804,680,,0.0,0,0,0,0,
14.0,car,0,4,237,476,382,609,,0.0,0,0,0,0,
14.0,car,0,5,657,536,918,693,,0.0,0,0,0,0,
14.0,car,0,6,400,500,472,547,,0.0,0,0,0,0,
15.0,car,0,1,753,576,1920,1071,,0.0,0,0,0,0,
15.0,car,0,3,1675,580,1780,678,,0.0,0,0,0,0,
15.0,car,0,4,238,476,389,610,,0.0,0,0,0,0,
15.0,car,0,5,658,536,919,706,,0.0,0,0,0,0,
15.0,car,0,6,404,498,473,548,,0.0,0,0,0,0,
16.0,car,0,1,784,579,1920,1071,,0.0,0,0,0,0,
16.0,car,0,3,1673,582,1773,674,,0.0,0,0,0,0,
16.0,car,0,4,238,474,397,611,,0.0,0,0,0,0,
16.0,car,0,5,659,537,918,713,,0.0,0,0,0,0,
16.0,car,0,6,405,499,473,548,,0.0,0,0,0,0,
16.0,car,0,7,907,533,1274,600,,0.0,0,0,0,0,
17.0,car,0,1,818,583,1920,1070,,0.0,0,0,0,0,
17.0,car,0,3,1669,582,1772,653,,0.0,0,0,0,0,
17.0,truck,0,4,239,473,397,612,,0.0,0,0,0,0,
