fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1.0,car,0,2,1143,313,1193,353,,0.0,0,0,0,0,
2.0,car,0,2,1142,313,1193,353,,0.0,0,0,0,0,
3.0,car,0,2,1142,314,1192,353,,0.0,0,0,0,0,
4.0,car,0,2,1142,314,1192,353,,0.0,0,0,0,0,
4.0,car,0,4,1820,413,1919,552,,0.0,0,0,0,0,
5.0,car,0,2,1142,314,1193,353,,0.0,0,0,0,0,
5.0,car,0,4,1799,399,1919,546,,0.0,0,0,0,0,
6.0,car,0,2,1142,313,1193,353,,0.0,0,0,0,0,
6.0,car,0,4,1777,382,1919,544,,0.0,0,0,0,0,
7.0,car,0,2,1142,313,1193,353,,0.0,0,0,0,0,
7.0,car,0,4,1757,366,1919,544,,0.0,0,0,0,0,
8.0,car,0,2,1142,313,1193,354,,0.0,0,0,0,0,
8.0,car,0,4,1739,350,1919,537,,0.0,0,0,0,0,
9.0,car,0,2,1142,313,1193,354,,0.0,0,0,0,0,
9.0,car,0,4,1721,344,1919,546,,0.0,0,0,0,0,
10.0,car,0,2,1142,313,1193,354,,0.0,0,0,0,0,
10.0,car,0,4,1702,340,1919,553,,0.0,0,0,0,0,
11.0,car,0,2,1142,312,1193,354,,0.0,0,0,0,0,
11.0,car,0,4,1686,339,1919,554,,0.0,0,0,0,0,
12.0,car,0,2,1142,312,1193,354,,0.0,0,0,0,0,
12.0,car,0,4,1672,340,1919,549,,0.0,0,0,0,0,
13.0,car,0,2,1142,312,1194,354,,0.0,0,0,0,0,
13.0,car,0,4,1659,339,1919,543,,0.0,0,0,0,0,
14.0,car,0,2,1142,311,1194,354,,0.0,0,0,0,0,
14.0,car,0,4,1645,340,1919,535,,0.0,0,0,0,0,
15.0,car,0,2,1141,311,1194,354,,0.0,0,0,0,0,
15.0,car,0,4,1633,337,1919,531,,0.0,0,0,0,0,
16.0,car,0,2,1141,311,1193,354,,0.0,0,0,0,0,
16.0,car,0,4,1620,336,1919,526,,0.0,0,0,0,0,
17.0,car,0,2,1141,311,1193,354,,0.0,0,0,0,0,
17.0,car,0,4,1609,336,1919,521,,0.0,0,0,0,0,
18.0,car,0,2,1140,311,1194,354,,0.0,0,0,0,0,
18.0,car,0,4,1598,335,1919,520,,0.0,0,0,0,0,
19.0,car,0,2,1139,312,1194,354,,0.0,0,0,0,0,
19.0,car,0,4,1588,334,1918,515,,0.0,0,0,0,0,
20.0,car,0,2,1139,312,1194,354,,0.0,0,0,0,0,
20.0,car,0,4,1578,334,1918,511,,0.0,0,0,0,0,
21.0,car,0,2,1138,312,1194,355,,0.0,0,0,0,0,
21.0,car,0,4,1569,333,1909,505,,0.0,0,0,0,0,
22.0,car,0,2,1138,313,1194,355,,0.0,0,0,0,0,
22.0,car,0,4,1561,333,1895,501,,0.0,0,0,0,0,
23.0,car,0,2,1138,312,1194,356,,0.0,0,0,0,0,
23.0,car,0,4,1552,332,1875,497,,0.0,0,0,0,0,
24.0,car,0,2,1138,312,1195,356,,0.0,0,0,0,0,
24.0,car,0,4,1545,333,1856,493,,0.0,0,0,0,0,
25.0,car,0,2,1138,311,1195,356,,0.0,0,0,0,0,
25.0,car,0,4,1536,332,1836,488,,0.0,0,0,0,0,
26.0,car,0,2,1139,310,1194,356,,0.0,0,0,0,0,
26.0,car,0,4,1528,332,1818,484,,0.0,0,0,0,0,
27.0,car,0,2,1138,310,1194,357,,0.0,0,0,0,0,
27.0,car,0,4,1521,334,1800,482,,0.0,0,0,0,0,
28.0,car,0,2,1138,310,1195,357,,0.0,0,0,0,0,
28.0,car,0,4,1514,334,1785,478,,0.0,0,0,0,0,
29.0,car,0,2,1137,310,1195,357,,0.0,0,0,0,0,
29.0,car,0,4,1508,336,1769,475,,0.0,0,0,0,0,
30.0,car,0,2,1136,310,1195,357,,0.0,0,0,0,0,
30.0,car,0,4,1500,335,1755,472,,0.0,0,0,0,0,
31.0,car,0,2,1136,310,1195,357,,0.0,0,0,0,0,
31.0,car,0,4,1494,335,1740,468,,0.0,0,0,0,0,
32.0,car,0,2,1135,310,1195,357,,0.0,0,0,0,0,
32.0,car,0,4,1488,334,1726,465,,0.0,0,0,0,0,
33.0,car,0,2,1135,310,1194,358,,0.0,0,0,0,0,
33.0,car,0,4,1481,334,1713,463,,0.0,0,0,0,0,
34.0,car,0,2,1135,310,1194,359,,0.0,0,0,0,0,
34.0,car,0,4,1476,334,1701,460,,0.0,0,0,0,0,
35.0,car,0,2,1133,310,1194,359,,0.0,0,0,0,0,
35.0,car,0,4,1472,333,1690,458,,0.0,0,0,0,0,
36.0,car,0,2,1132,310,1194,359,,0.0,0,0,0,0,
36.0,car,0,4,1467,332,1680,456,,0.0,0,0,0,0,
37.0,car,0,2,1132,309,1194,360,,0.0,0,0,0,0,
37.0,car,0,4,1463,331,1669,453,,0.0,0,0,0,0,
38.0,car,0,2,1131,309,1194,360,,0.0,0,0,0,0,
38.0,car,0,4,1456,331,1658,450,,0.0,0,0,0,0,
39.0,car,0,2,1131,310,1194,360,,0.0,0,0,0,0,
39.0,car,0,4,1450,329,1648,446,,0.0,0,0,0,0,
40.0,car,0,2,1130,311,1194,361,,0.0,0,0,0,0,
40.0,car,0,4,1446,330,1639,442,,0.0,0,0,0,0,
41.0,car,0,2,1130,311,1194,361,,0.0,0,0,0,0,
41.0,car,0,4,1442,330,1631,440,,0.0,0,0,0,0,
41.0,car,0,5,1047,315,1102,345,,0.0,0,0,0,0,
42.0,car,0,2,1130,312,1194,361,,0.0,0,0,0,0,
42.0,car,0,4,1440,330,1623,440,,0.0,0,0,0,0,
42.0,car,0,5,1048,315,1107,345,,0.0,0,0,0,0,
43.0,car,0,2,1130,312,1194,362,,0.0,0,0,0,0,
43.0,car,0,4,1434,330,1614,437,,0.0,0,0,0,0,
43.0,car,0,5,1048,315,1108,344,,0.0,0,0,0,0,
44.0,car,0,2,1130,312,1194,362,,0.0,0,0,0,0,
44.0,car,0,4,1430,328,1604,435,,0.0,0,0,0,0,
44.0,car,0,5,1048,315,1109,344,,0.0,0,0,0,0,
45.0,car,0,2,1129,311,1194,362,,0.0,0,0,0,0,
45.0,car,0,4,1426,327,1597,433,,0.0,0,0,0,0,
45.0,car,0,5,1048,315,1107,343,,0.0,0,0,0,0,
46.0,car,0,2,1127,311,1194,363,,0.0,0,0,0,0,
46.0,car,0,4,1420,325,1590,432,,0.0,0,0,0,0,
46.0,car,0,5,1050,316,1113,345,,0.0,0,0,0,0,
47.0,car,0,2,1126,311,1194,363,,0.0,0,0,0,0,
47.0,car,0,4,1420,326,1584,429,,0.0,0,0,0,0,
47.0,car,0,5,1052,317,1116,345,,0.0,0,0,0,0,
48.0,car,0,2,1126,311,1195,364,,0.0,0,0,0,0,
48.0,car,0,4,1419,329,1577,427,,0.0,0,0,0,0,
