epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9264,5.53671,10.9767,4.32586,0,0,0,0,0.5076,43.125,0.29317,0,0,0
2,30.5286,5.21123,10.061,4.35637,0,0,0,0,0.5076,43.125,0.29324,1.9934e-05,1.9934e-05,1.9934e-05
3,34.4266,5.2761,9.2111,4.64769,0,0,0,0,0.50856,43.125,0.29387,3.9736e-05,3.9736e-05,3.9736e-05
4,37.9716,5.27325,9.7476,4.26965,0,0,0,0,0.50856,43.125,0.29397,5.9406e-05,5.9406e-05,5.9406e-05
5,41.3956,5.17697,7.88471,4.36975,0,0,0,0,0.50856,43.125,0.29403,7.8944e-05,7.8944e-05,7.8944e-05
6,44.662,4.61353,7.82112,4.35416,0,0,0,0,0.50856,43.125,0.2941,9.835e-05,9.835e-05,9.835e-05
7,47.9204,4.09214,6.98883,4.39522,0,0,0,0,0.50856,43.125,0.29418,0.000117624,0.000117624,0.000117624
8,51.1797,6.29738,13.4213,4.34125,0,0,0,0,0.50856,43.125,0.29424,0.000136766,0.000136766,0.000136766
9,54.524,5.16811,8.34085,4.29808,0,0,0,0,0.50856,43.125,0.29438,0.000155776,0.000155776,0.000155776
10,57.9856,5.51041,8.6831,4.24576,0,0,0,0,0.50856,43.125,0.29445,0.000174654,0.000174654,0.000174654
11,61.4552,4.59111,8.97794,4.31018,0,0,0,0,0.49429,43.125,0.28623,0.0001934,0.0001934,0.0001934
12,64.9497,4.48583,7.8037,4.40077,0,0,0,0,0.49393,43.125,0.28613,0.000212014,0.000212014,0.000212014
13,68.4596,4.53702,6.58752,4.26725,0,0,0,0,0.49336,43.125,0.28592,0.000230496,0.000230496,0.000230496
14,71.947,4.19289,7.0699,4.27921,0,0,0,0,0.49265,43.125,0.28571,0.000248846,0.000248846,0.000248846
15,75.4841,5.28532,8.7673,4.41024,0,0,0,0,0.49007,43.125,0.28437,0.000267064,0.000267064,0.000267064
16,79.1108,4.85828,7.06358,4.32613,0,0,0,0,0.48937,43.125,0.28409,0.00028515,0.00028515,0.00028515
17,82.6542,4.8945,7.98198,4.23161,0,0,0,0,0.48588,43.125,0.28223,0.000303104,0.000303104,0.000303104
18,86.0434,4.91487,9.10508,4.35631,0,0,0,0,0.48495,43.125,0.28191,0.000320926,0.000320926,0.000320926
19,87.5228,4.47332,7.43328,4.2231,0,0,0,0,0.47461,43.0938,0.27604,0.000338616,0.000338616,0.000338616
20,88.8434,4.64208,7.43226,4.18417,0,0,0,0,0.46648,43.0938,0.27149,0.000356174,0.000356174,0.000356174
21,90.1972,4.04598,7.36462,4.27487,0,0,0,0,0.46236,43.0938,0.26933,0.0003736,0.0003736,0.0003736
22,91.6974,4.5329,6.47294,4.26163,0,0,0,0,0.45855,43.0938,0.26734,0.000390894,0.000390894,0.000390894
23,93.1935,5.16346,6.59123,4.0673,0,0,0,0,0.45699,43.0938,0.26671,0.000408056,0.000408056,0.000408056
24,94.688,4.67384,6.74771,4.04531,0,0,0,0,0.44752,43.0938,0.26138,0.000425086,0.000425086,0.000425086
25,96.1805,3.98552,6.26108,4.09665,0,0,0,0,0.44281,43.0938,0.25896,0.000441984,0.000441984,0.000441984
26,97.6889,4.17235,7.16389,4.03166,0,0,0,0,0.4271,43.0938,0.25004,0.00045875,0.00045875,0.00045875
27,99.2115,4.44556,7.2185,4.02448,0,0,0,0,0.42493,43.0938,0.24907,0.000475384,0.000475384,0.000475384
28,100.744,3.94464,6.22701,3.97846,0,0,0,0,0.42037,43.0938,0.24673,0.000491886,0.000491886,0.000491886
29,102.295,3.8675,5.81846,3.95819,0,0,0,0,0.40681,43.0625,0.2391,0.000508256,0.000508256,0.000508256
30,103.811,4.9016,7.01972,3.71511,0,0,0,0,0.40161,43.0625,0.23648,0.000524494,0.000524494,0.000524494
31,105.411,4.44688,6.37239,3.933,0,0,0,0,0.38631,43.0625,0.22787,0.0005406,0.0005406,0.0005406
32,107.008,4.34967,5.72224,3.76624,0,0,0,0,0.37301,43.0625,0.22049,0.000556574,0.000556574,0.000556574
33,108.523,4.65825,5.42064,3.73439,0,0,0,0,0.36572,43.0625,0.21655,0.000572416,0.000572416,0.000572416
34,110.156,4.11711,5.57319,3.84756,0,0,0,0,0.361,39.9375,0.21407,0.000588126,0.000588126,0.000588126
35,111.709,3.92786,4.94811,3.7709,0,0,0,0,0.34655,39.0312,0.20575,0.000603704,0.000603704,0.000603704
36,113.302,3.94142,5.14559,3.55052,0,0,0,0,0.3431,38.625,0.20393,0.00061915,0.00061915,0.00061915
37,114.826,4.25,5.85383,3.39068,0,0,0,0,0.33592,38.5625,0.19988,0.000634464,0.000634464,0.000634464
38,116.417,3.93747,4.95531,3.46956,0,0,0,0,0.32339,38.5312,0.19275,0.000649646,0.000649646,0.000649646
39,117.938,4.09532,6.04137,3.35744,0,0,0,0,0.31861,38.5312,0.19013,0.000664696,0.000664696,0.000664696
40,119.449,3.87182,5.15708,3.58173,0,0,0,0,0.3135,38.5312,0.1871,0.000679614,0.000679614,0.000679614
41,120.979,3.78129,4.47949,3.19997,0,0,0,0,0.3167,38.5312,0.18893,0.0006944,0.0006944,0.0006944
42,122.504,3.41496,4.27728,3.36449,0,0,0,0,0.29704,38.5312,0.17751,0.000709054,0.000709054,0.000709054
43,124.019,3.28663,4.57496,3.26874,0,0,0,0,0.29394,38.5312,0.17582,0.000723576,0.000723576,0.000723576
