epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9718,4.83453,9.03446,4.30196,0,0,0,0,2.30008,32.7812,1.35848,2e-05,2e-05,2e-05
2,25.8915,4.98125,9.63206,4.24327,0,0,0,0,2.30008,32.7812,1.35856,5.9802e-05,5.9802e-05,5.9802e-05
3,27.9776,5.58339,12.775,4.30105,0,0,0,0,2.30006,32.7812,1.35886,9.934e-05,9.934e-05,9.934e-05
4,29.6939,5.44758,8.89576,4.28905,0,0,0,0,2.30006,32.7812,1.35939,0.000138614,0.000138614,0.000138614
5,31.4771,5.12905,8.61164,4.2906,0,0,0,0,2.30006,32.7812,1.35964,0.000177624,0.000177624,0.000177624
6,33.4383,5.3064,11.1489,4.32839,0,0,0,0,2.26111,32.75,1.3364,0.00021637,0.00021637,0.00021637
7,35.3707,4.62833,8.6374,4.37439,0,0,0,0,2.2495,32.75,1.32999,0.000254852,0.000254852,0.000254852
8,37.302,4.92891,8.53622,4.11806,0,0,0,0,2.24818,32.75,1.33013,0.00029307,0.00029307,0.00029307
9,39.2872,5.18684,8.86521,4.12096,0,0,0,0,2.22831,32.75,1.31892,0.000331024,0.000331024,0.000331024
10,41.1353,5.17152,11.5938,4.02779,0,0,0,0,2.22829,32.75,1.32042,0.000368714,0.000368714,0.000368714
11,42.9819,4.71919,9.02561,4.05133,0,0,0,0,2.18835,32.7188,1.2984,0.00040614,0.00040614,0.00040614
12,44.8108,4.66707,9.04734,3.98004,0,0,0,0,2.16486,32.7188,1.28682,0.000443302,0.000443302,0.000443302
13,46.6641,4.93227,9.27687,3.92187,0,0,0,0,2.10373,32.6875,1.25262,0.0004802,0.0004802,0.0004802
14,48.4889,4.40806,8.67945,3.61379,0,0,0,0,2.08086,32.6562,1.24215,0.000516834,0.000516834,0.000516834
15,50.3137,4.53782,7.37705,3.6792,0,0,0,0,2.03976,32.6562,1.22074,0.000553204,0.000553204,0.000553204
16,52.149,3.84461,6.5052,3.62271,0,0,0,0,1.97644,32.625,1.18729,0.00058931,0.00058931,0.00058931
17,53.9654,4.1939,6.80628,3.57627,0,0,0,0,1.92652,32.5938,1.16117,0.000625152,0.000625152,0.000625152
18,55.8318,3.99542,6.54165,3.38972,0,0,0,0,1.85982,32.5625,1.12599,0.00066073,0.00066073,0.00066073
19,57.6422,3.61739,5.86593,3.25379,0,0,0,0,1.77073,32.5,1.07747,0.000696044,0.000696044,0.000696044
20,59.4481,3.64395,5.97129,3.36491,0,0,0,0,1.71249,32.5,1.0458,0.000731094,0.000731094,0.000731094
21,61.3343,3.40335,5.36639,2.98916,0,0,0,0,1.64291,32.4375,1.00575,0.00076588,0.00076588,0.00076588
22,63.1674,3.75664,5.34223,2.92327,0,0,0,0,1.6368,32.4375,1.00279,0.000800402,0.000800402,0.000800402
23,65.0147,3.33389,4.51872,2.95651,0,0,0,0,1.61755,32.4375,0.99159,0.00083466,0.00083466,0.00083466
24,66.8408,3.77418,5.1955,3.14509,0,0,0,0,1.48496,32.375,0.91569,0.000868654,0.000868654,0.000868654
25,68.6498,3.1139,4.48239,2.92566,0,0,0,0,1.32229,32.3125,0.82366,0.000902384,0.000902384,0.000902384
26,70.4586,3.63149,4.62921,2.83256,0,0,0,0,1.36231,32.3125,0.84504,0.00093585,0.00093585,0.00093585
27,72.281,3.32243,3.81727,2.77724,0,0,0,0,1.36911,32.3125,0.84733,0.000969052,0.000969052,0.000969052
28,74.0638,3.20031,3.51865,2.64558,0,0,0,0,1.57251,32.4375,0.95884,0.00100199,0.00100199,0.00100199
